更新时间,2026-08-04 03:03:56,#genre#

上海电信,#genre#
快乐垂钓,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.42:5140
茶频道,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.43:5140
游戏风云,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.44:5140
生活时尚,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.45:5140
动漫秀场,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.46:5140
乐游,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.47:5140
都市剧场,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.48:5140
法治天地,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.49:5140
欢笑剧场4K,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.50:5140
东方卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.51:5140
CCTV1,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.52:5140
东方都市,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.53:5140
哈哈炫动,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.54:5140
东方影视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.55:5140
新闻综合,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.57:5140
五星体育,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.58:5140
长助理,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.59:5140
东方财经,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.65:5140
金色学堂,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.66:5140
CCTV5+,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.67:5140
CCTV2,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.68:5140
CCTTV3,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.69:5140
CCTV4,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.70:5140
CCTV5,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.71:5140
CCTV6,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.72:5140
CCTV7,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.73:5140
CCTV8,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.74:5140
CCTV9,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.75:5140
CCTV10,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.76:5140
CCTV11,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.77:5140
CCTV12,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.78:5140
CCTV13,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.79:5140
CCTV14,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.80:5140
CCTV15,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.81:5140
CCTV16,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.82:5140
CCTV7,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.83:5140
浙江卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.84:5140
江苏卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.85:5140
湖南卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.86:5140
BRTV北京卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.87:5140
广东卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.88:5140
深圳卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.89:5140
黑龙江卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.90:5140
山东卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.91:5140
湖北卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.92:5140
安徽卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.93:5140
东南卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.94:5140
江西卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.95:5140
辽宁卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.96:5140
天津卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.97:5140
CETV1,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.98:5140
四川卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.99:5140
重庆卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.100:5140
贵州卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.101:5140
海南卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.102:5140
河北卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.103:5140
金鹰纪实,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.104:5140
河南卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.105:5140
云南卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.106:5140
广西卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.107:5140
吉林卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.108:5140
北京卡酷,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.109:5140
甘肃卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.110:5140
CETV4,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.111:5140
青海卫视,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.112:5140
金鹰卡通,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.113:5140
欢笑剧场4K,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.115:5140
CCTV1,http://cloud.sunrisecom.wang:8888/rtp/233.18.204.168:5140
快乐垂钓,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.42:5140
茶频道,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.43:5140
游戏风云,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.44:5140
生活时尚,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.45:5140
动漫秀场,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.46:5140
乐游,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.47:5140
都市剧场,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.48:5140
法治天地,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.49:5140
欢笑剧场4K,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.50:5140
东方卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.51:5140
CCTV1,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.52:5140
东方都市,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.53:5140
哈哈炫动,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.54:5140
东方影视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.55:5140
新闻综合,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.57:5140
五星体育,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.58:5140
长助理,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.59:5140
东方财经,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.65:5140
金色学堂,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.66:5140
CCTV5+,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.67:5140
CCTV2,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.68:5140
CCTTV3,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.69:5140
CCTV4,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.70:5140
CCTV5,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.71:5140
CCTV6,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.72:5140
CCTV7,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.73:5140
CCTV8,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.74:5140
CCTV9,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.75:5140
CCTV10,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.76:5140
CCTV11,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.77:5140
CCTV12,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.78:5140
CCTV13,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.79:5140
CCTV14,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.80:5140
CCTV15,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.81:5140
CCTV16,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.82:5140
CCTV7,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.83:5140
浙江卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.84:5140
江苏卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.85:5140
湖南卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.86:5140
BRTV北京卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.87:5140
广东卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.88:5140
深圳卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.89:5140
黑龙江卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.90:5140
山东卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.91:5140
湖北卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.92:5140
安徽卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.93:5140
东南卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.94:5140
江西卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.95:5140
辽宁卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.96:5140
天津卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.97:5140
CETV1,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.98:5140
四川卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.99:5140
重庆卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.100:5140
贵州卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.101:5140
海南卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.102:5140
河北卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.103:5140
金鹰纪实,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.104:5140
河南卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.105:5140
云南卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.106:5140
广西卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.107:5140
吉林卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.108:5140
北京卡酷,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.109:5140
甘肃卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.110:5140
CETV4,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.111:5140
青海卫视,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.112:5140
金鹰卡通,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.113:5140
欢笑剧场4K,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.115:5140
CCTV1,http://yyf1991.direct.quickconnect.to:9999/rtp/233.18.204.168:5140
快乐垂钓,http://www.yyf1991.top:9999/rtp/233.18.204.42:5140
茶频道,http://www.yyf1991.top:9999/rtp/233.18.204.43:5140
游戏风云,http://www.yyf1991.top:9999/rtp/233.18.204.44:5140
生活时尚,http://www.yyf1991.top:9999/rtp/233.18.204.45:5140
动漫秀场,http://www.yyf1991.top:9999/rtp/233.18.204.46:5140
乐游,http://www.yyf1991.top:9999/rtp/233.18.204.47:5140
都市剧场,http://www.yyf1991.top:9999/rtp/233.18.204.48:5140
法治天地,http://www.yyf1991.top:9999/rtp/233.18.204.49:5140
欢笑剧场4K,http://www.yyf1991.top:9999/rtp/233.18.204.50:5140
东方卫视,http://www.yyf1991.top:9999/rtp/233.18.204.51:5140
CCTV1,http://www.yyf1991.top:9999/rtp/233.18.204.52:5140
东方都市,http://www.yyf1991.top:9999/rtp/233.18.204.53:5140
哈哈炫动,http://www.yyf1991.top:9999/rtp/233.18.204.54:5140
东方影视,http://www.yyf1991.top:9999/rtp/233.18.204.55:5140
新闻综合,http://www.yyf1991.top:9999/rtp/233.18.204.57:5140
五星体育,http://www.yyf1991.top:9999/rtp/233.18.204.58:5140
长助理,http://www.yyf1991.top:9999/rtp/233.18.204.59:5140
东方财经,http://www.yyf1991.top:9999/rtp/233.18.204.65:5140
金色学堂,http://www.yyf1991.top:9999/rtp/233.18.204.66:5140
CCTV5+,http://www.yyf1991.top:9999/rtp/233.18.204.67:5140
CCTV2,http://www.yyf1991.top:9999/rtp/233.18.204.68:5140
CCTTV3,http://www.yyf1991.top:9999/rtp/233.18.204.69:5140
CCTV4,http://www.yyf1991.top:9999/rtp/233.18.204.70:5140
CCTV5,http://www.yyf1991.top:9999/rtp/233.18.204.71:5140
CCTV6,http://www.yyf1991.top:9999/rtp/233.18.204.72:5140
CCTV7,http://www.yyf1991.top:9999/rtp/233.18.204.73:5140
CCTV8,http://www.yyf1991.top:9999/rtp/233.18.204.74:5140
CCTV9,http://www.yyf1991.top:9999/rtp/233.18.204.75:5140
CCTV10,http://www.yyf1991.top:9999/rtp/233.18.204.76:5140
CCTV11,http://www.yyf1991.top:9999/rtp/233.18.204.77:5140
CCTV12,http://www.yyf1991.top:9999/rtp/233.18.204.78:5140
CCTV13,http://www.yyf1991.top:9999/rtp/233.18.204.79:5140
CCTV14,http://www.yyf1991.top:9999/rtp/233.18.204.80:5140
CCTV15,http://www.yyf1991.top:9999/rtp/233.18.204.81:5140
CCTV16,http://www.yyf1991.top:9999/rtp/233.18.204.82:5140
CCTV7,http://www.yyf1991.top:9999/rtp/233.18.204.83:5140
浙江卫视,http://www.yyf1991.top:9999/rtp/233.18.204.84:5140
江苏卫视,http://www.yyf1991.top:9999/rtp/233.18.204.85:5140
